Track,Album_Name,Artist,Release_Date,All_Time_Spotify_Rank,Track_Score,Spotify_Streams,Spotify_Popularity,YouTube_Views,YouTube_Likes,Explicit_Track_Ratings,Shazam_Counts
Hell N Back,Hell N Back (Sped Up),Bakar,8/14/2019,"1,975",32.4,"512,194,074",71.0,"31,571,952","420,306",1,"2,988,493"
Stand By Me (feat. Morgan Wallen),Almost Healed,Lil Durk,5/26/2023,"1,978",32.4,"132,870,060",69.0,"27,715,495","361,926",1,"393,651"
Yaad Piya Ki Aane Lagi,Yaad Piya Ki Aane Lagi,Neha Kakkar,11/16/2019,"1,976",32.4,"86,910,140",56.0,"626,799,451","4,573,766",0,"202,049"
A-O-K,A-O-K,Tai Verdes,5/6/2021,"1,982",32.4,"389,915,082",66.0,"12,456,282","162,382",1,"1,518,022"
Shotgun,Staying at Tamara's,George Ezra,3/23/2018,"1,980",32.4,"930,662,973",71.0,"473,069,489","2,566,614",0,"7,331,922"
Kiss Me,Songs of Sonder,Dermot Kennedy,9/2/2022,"1,973",32.4,"149,237,160",65.0,"60,539,963","307,422",0,"2,868,389"
COCO LOCO,COCO LOCO - Single,Maluma,6/8/2023,"1,977",32.4,"173,609,862",63.0,"74,811,822","363,158",0,"849,055"
"High Rated Gabru (From ""High Rated Gabru"")",High Rated Gabru,Guru Randhawa,7/4/2017,"1,981",32.4,"37,248,788",50.0,"1,900,711,176","10,412,989",0,"276,435"
"I spoke to the devil in miami, he said everything would be fine",LOOK AT ME: THE ALBUM,XXXTENTACION,6/10/2022,"1,979",32.4,"42,993,944",58.0,"7,064,950","182,381",0,"363,684"
Goosebumps,Goosebumps,HVME,6/12/2020,"1,999",32.3,"495,274,429",63.0,"78,671,735","609,580",1,"2,916,022"
Rolex,Rolex,Ayo & Teo,3/15/2017,"1,996",32.3,"491,634,627",62.0,"188,680,059","1,804,608",0,"4,960,587"
Whiskey On You,Whiskey On You - Single,Nate Smith,5/6/2022,"1,985",32.3,"193,854,805",68.0,"24,154,881","173,205",0,"466,888"
Nostï¿½ï¿½l,Nostï¿½ï¿½lgico - Si,Rvssian,9/8/2021,"1,992",32.3,"503,972,431",68.0,"169,044,079","1,342,959",1,"2,021,548"
NO,NO,Meghan Trainor,3/4/2016,"1,988",32.3,"614,050,155",69.0,"787,010,459","6,661,292",0,"8,410,179"
HP,HP,Maluma,3/1/2019,"1,997",32.3,"614,313,540",64.0,"978,997,170","4,042,367",1,"1,887,065"
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky,8/18/2023,"2,000",32.3,"190,634,973",79.0,"12,371,887","154,516",1,"356,345"
Un Ratito,Un Verano Sin Ti,Bad Bunny,5/6/2022,"1,990",32.3,"500,671,737",70.0,"204,437,602","1,398,859",0,"796,992"
Sezen Aksu,#1 - EP,Lvbel C5,4/12/2024,"1,993",32.3,"46,650,884",75.0,"23,179,014","100,874",0,"265,109"
hotline (edit),hotline (edit),Billie Eilish,5/9/2023,"1,984",32.3,"366,169,549",78.0,"11,642,653","461,148",0,"3,943,258"
One More Night,Overexposed Track By Track,Maroon 5,1/1/2012,"1,989",32.3,"885,944,426",73.0,"1,106,757,714","4,773,915",0,"10,178,659"
Desconocidos,Desconocidos,Mau y Ricky,10/12/2018,"2,006",32.2,"757,001,327",65.0,"1,178,040,262","4,145,589",1,"1,295,202"
After Party,Heaven Or Hell,Don Toliver,3/13/2020,"2,005",32.2,"706,711,575",69.0,"133,159,545","1,623,904",1,"1,400,011"
Fluxxwave,Fluxxwave,Clovis Reyes,5/7/2023,"2,002",32.2,"88,673,935",69.0,"171,113,686","2,566,181",0,"441,367"
We Can't Stop,NOW: The Hits Of Summer 2014,Miley Cyrus,1/1/2013,"2,003",32.2,"970,858,824",71.0,"1,310,779,877","7,274,419",0,"6,946,040"
Buy Dirt,Buy Dirt,Jordan Davis,5/21/2021,"2,007",32.2,"457,254,811",77.0,"26,485,095","208,483",0,"958,724"
Las Morras,Las Morras,Peso Pluma,4/4/2023,"2,004",32.2,"253,711,656",66.0,"148,812,952","859,486",1,"366,772"
Mamichula - con Nicki Nicole,Atrevido,Trueno,7/23/2020,"2,013",32.1,"515,582,705",76.0,"606,811,318","5,460,826",0,"634,470"
FAKE LOVE,Love Yourself ï¿½ï¿½ï¿½ 'A,BTS,8/24/2018,"2,010",32.1,"800,203,170",57.0,"1,349,952,981","25,782,597",0,"3,351,704"
Higher Power,Higher Power,Coldplay,5/7/2021,"2,016",32.1,"349,603,788",63.0,"137,534,459","1,529,839",0,"2,591,262"
The Perfect Girl,The Perfect Girl,Mareux,10/13/2019,"2,018",32.1,"402,007,889",72.0,"275,482,156","4,928,693",0,"2,706,263"
Yeah! (feat. Lil Jon & Ludacris),Kings Of Crunk (Special Edition),USHER,1/1/2004,"2,020",32.1,"1,307,469,137",80.0,"1,200,224,642","8,294,174",0,"15,485,233"
Swear to God (feat. Future),Swear to God (feat. Future),Tee Grizzley,5/10/2024,"2,011",32.1,"7,785,021",1.0,"3,973,551","90,879",1,"57,289"
Prohibidox,FELIZ CUMPLEAï¿½ï¿½OS FERXXO TE PIRATEAMOS EL ï¿,Feid,9/14/2022,"2,012",32.1,"289,624,210",70.0,"201,168,669","890,146",0,"465,619"
Montagem Mysterious Game,Montagem Mysterious Game,LXNGVX,11/17/2023,"2,021",32.1,"139,208,438",77.0,"13,279,195","355,386",0,"1,167,271"
You Say,You Say,Lauren Daigle,7/13/2018,"2,033",32.0,"542,480,898",68.0,"435,065,136","3,809,205",0,"10,103,507"
Watch The World Burn,Watch The World Burn,Falling In Reverse,1/31/2023,"2,029",32.0,"137,204,273",69.0,"105,245,546","1,284,515",1,"633,695"
"Hukum - Thalaivar Alappara (From ""Jailer"")","Hukum - Thalaivar Alappara (From ""Jailer"")",Anirudh Ravichander,7/17/2023,"2,030",32.0,"143,053,873",61.0,"199,585,965","1,829,386",0,"168,682"
With You,With You,AP Dhillon,8/11/2023,"2,025",32.0,"159,980,783",68.0,"118,381,181","1,270,496",0,"215,166"
I Love It (& Lil Pump),I Love It - Single,Kanye West,9/6/2018,"2,035",32.0,"703,089,599",65.0,"761,321,778","9,012,438",1,"2,965,820"
Love Songs - Bonus,Love Songs,Kaash Paige,11/19/2018,"2,031",32.0,"478,086,665",73.0,"121,801,747","1,355,380",0,"2,435,456"
Me Atraiu - Ao Vivo,Me Atraiu (Ao Vivo),Gabriela Rocha,2/1/2023,"2,027",32.0,"103,132,095",63.0,"224,457,485","1,342,976",0,"118,786"
LET'S GET FKD UP,LET'S GET FKD UP (feat. Tribbs),Alok,11/17/2023,"2,034",32.0,"125,445,403",77.0,"328,527","4,004",1,"404,270"
I LOVE YOU HOE (w/ 9lives),3x3,Odetari,7/12/2023,"2,028",32.0,"160,320,384",64.0,"27,712,131","449,186",1,"394,365"
HAPPY,HOPE,NF,4/7/2023,"2,032",32.0,"127,558,523",68.0,"56,328,016","701,370",0,"668,230"
BOOMBAYAH,SQUARE ONE,BLACKPINK,8/8/2016,"2,024",32.0,"534,374,502",68.0,"1,785,015,062","18,123,231",0,"1,251,070"
Min Awel Dekika,Min Awel Dekika,Elissa,5/4/2022,"2,040",31.9,"24,195,796",52.0,"513,974,720","3,902,623",0,"968,681"
cï¿½ï¿½mo dormi,cï¿½ï¿½mo dormi,Rels B,8/4/2022,"2,038",31.9,"516,560,181",74.0,"110,114,094","814,675",1,"340,443"
my ex's best friend (with blackbear),my ex's best friend (with blackbear),mgk,8/7/2020,"2,042",31.9,"682,383,223",68.0,"183,898,967","1,760,357",1,"2,439,849"
Parce (feat. Justin Quiles),Parce (feat. Justin Quiles),Maluma,8/20/2020,"2,046",31.9,"423,582,537",61.0,"491,738,603","2,883,634",0,"965,918"
ýýCuýýl Es Su Nombre?,El De La Nueva Baby,Lucky Brown,9/14/2023,"2,041",31.9,"83,521,812",66.0,"127,280,465","489,928",1,"97,655"
Borro Cassette,Borro Cassette,Maluma,6/29/2015,"2,045",31.9,"761,287,318",76.0,"1,659,052,720","4,919,965",0,"2,419,505"
Wild Thoughts,Wild Thoughts,DJ Khaled,6/16/2017,"2,043",31.9,"1,164,638,213",74.0,"27,823,167","239,547",1,"11,992,440"
L'ULTIMA POESIA,L'ULTIMA POESIA - Single,Geolier,3/22/2024,"2,044",31.9,"41,788,648",72.0,"34,701,839","218,997",0,"470,963"
Where Are ï¿½ï¿½ Now (with Justin Bie,Skrillex and Diplo present Jack ï¿,Jack ï¿,2/24/2015,"2,036",31.9,"1,100,392,417",69.0,"1,343,498,789","7,017,961",0,"25,076"
TKN (feat. Travis Scott),TKN (feat. Travis Scott),ROSALï¿½,5/28/2020,"2,047",31.9,"447,192,467",61.0,"304,553,514","4,676,461",0,"2,921,983"
Estï¿½ï¿½ Daï,Alma Vacï¿½,Ivan Cornejo,8/20/2021,"2,037",31.9,"263,986,575",67.0,"138,793,735","1,535,505",0,"1,413,328"
In Your Eyes,After Hours,The Weeknd,3/20/2020,"2,054",31.8,"940,914,292",70.0,"166,787,290","2,132,781",1,"6,236,168"
Take Her Home,Take Her Home - Single,Kenny Chesney,11/10/2023,"2,048",31.8,"10,292,715",9.0,"2,441,458","29,255",0,"139,624"
Don't Wanna Know (feat. Kendrick Lamar),Don't Wanna Know,Maroon 5,10/11/2016,"2,055",31.8,"946,757,383",64.0,"936,997,565","5,406,952",0,"9,035,879"
Entra Na Defender,Entra Na Defender,Luan Pereira,3/21/2024,"2,064",31.8,"68,372,540",77.0,"41,802,961","232,946",0,"21,095"
Falling,Fine Line,Harry Styles,12/13/2019,"2,050",31.8,"1,225,776,509",75.0,"308,365,869","5,355,909",0,"1,958,247"
Maps,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Maroon 5,1/1/2014,"2,052",31.8,"1,676,528,402",79.0,"942,734,894","4,766,947",0,"157,957"
We're Good,Future Nostalgia (The Moonlight Edition),Dua Lipa,2/11/2021,"2,049",31.8,"515,693,079",62.0,"139,617,172","1,511,209",0,"2,909,613"
Sip (Alcohol),Alcohol - Single,Joeboy,9/24/2021,"2,063",31.8,"115,647,691",58.0,"215,744,090","1,282,316",0,"4,087,365"
Get You (feat. Kali Uchis),Get You - Single,Daniel Caesar,10/21/2016,"2,056",31.8,"1,024,198,691",76.0,"251,585,070","1,895,986",0,"4,056,356"
Body,Body,Loud Luxury,10/27/2017,"2,059",31.8,"1,187,784,950",74.0,"295,487,246","1,776,887",0,"9,782,303"
One Thing At A Time,One Thing At A Time (Sampler),Morgan Wallen,12/2/2022,"2,057",31.8,"249,576,970",70.0,"39,198,931","239,096",0,"410,037"
Mentiras | CROSSOVER #3,Mentiras | CROSSOVER #3,Big One,7/25/2023,"2,051",31.8,"99,865,431",64.0,"169,676,605","490,029",0,"104,806"
911,911,Sech,2/5/2021,"2,058",31.8,"352,258,962",55.0,"415,445,675","2,300,245",1,"943,449"
You Make It Easy,You Make It Easy,Jason Aldean,1/26/2018,"2,066",31.8,"461,456,306",5.0,"149,557,856","1,484,925",0,"1,717,815"
Hoy,Hoy,Valentino Merlo,5/22/2024,"2,065",31.8,"3,084,236",62.0,"16,220,723","20,462",0,"41,919"
Suge,Baby On Baby,DaBaby,3/1/2019,"2,053",31.8,"647,501,734",62.0,"447,330,965","3,838,459",1,"2,919,131"
Money,Money,Cardi B,10/23/2018,"2,070",31.7,"580,625,472",65.0,"551,699,941","5,832,935",1,"24,631"
Queen of Kings,Queen of Kings,Alessandra,1/8/2023,"2,069",31.7,"162,396,159",66.0,"120,017,704","1,180,096",0,"670,703"
Hasta Que Dios Diga,Emmanuel,Anuel AA,5/29/2020,"2,071",31.7,"657,768,560",71.0,"485,818,371","2,230,333",1,"1,043,955"
Hackearam-me,"Decretos Reais, Vol. 3",Marï¿½ï¿½lia Mendo,3/16/2023,"2,073",31.7,"43,921,455",44.0,"329,678,889","1,854,891",0,"9,589"
No Type,No Type,Rae Sremmurd,9/16/2014,"2,072",31.7,"584,277,301",64.0,"902,705,161","5,564,747",1,"4,334,574"
ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý,YOASOBI,12/15/2019,"2,085",31.6,"588,095,934",67.0,"690,674,947","5,232,424",0,"1,740,273"
Sand In My Boots,Dangerous: The Double Album,Morgan Wallen,1/8/2021,"2,078",31.6,"379,462,137",72.0,"144,996,999","759,185",0,"886,799"
A Cara do Crime (Nï¿½ï¿½s Incom,A Cara do Crime (Nï¿½ï¿½s Incom,Mc Poze do Rodo,5/27/2021,"2,076",31.6,"167,885,356",59.0,"623,156,045","4,494,258",1,"288,490"
Overseas,Overseas,D-Block Europe,11/18/2021,"2,086",31.6,"216,354,398",64.0,"92,356,896","647,095",1,"1,065,136"
"I Pï¿½ï¿½ï¿½ ME, TU P","I Pï¿½ï¿½ï¿½ ME, TU P",Geolier,2/7/2024,"2,079",31.6,"85,967,228",71.0,"55,372,624","370,683",0,"162,032"
Monster (Shawn Mendes &amp; Justin Bieber),Monster,Shawn Mendes,11/20/2020,"2,075",31.6,"606,018,960",61.0,"249,997,553","4,474,871",0,"2,455,342"
Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,1/1/2010,"2,084",31.6,"1,144,535,829",71.0,"1,604,084,148","8,081,370",0,"4,134,026"
Circo Loco,Her Loss,Drake,11/4/2022,"2,077",31.6,"201,467,069",65.0,"20,937,003","225,873",1,"765,958"
Canï¿½ï¿½n Saï¿½ï,Canï¿½ï¿½n Saï¿½ï,Semicenk,4/21/2023,"2,082",31.6,"141,252,425",69.0,"194,066,158","587,390",0,"523,400"
Limbo,Freddie's Inferno,Freddie Dredd,8/11/2022,"2,080",31.6,"290,154,153",68.0,"23,082,946","421,187",1,"2,165,418"
Laad Piya Ke,Laad Piya Ke,Raju Punjabi,5/4/2022,"2,087",31.6,"17,675,254",55.0,"573,015,231","1,299,244",0,"65,032"
Coco Cola,Coco Cola,Ruchika Jangid,9/4/2020,"2,081",31.6,"16,483,067",53.0,"1,019,712,247","4,023,690",0,"41,569"
DUELE EL CORAZON,The RCA-List (Vol. 2),Enrique Iglesias,1/1/2016,"2,100",31.5,"654,612,558",63.0,"1,571,210,815","5,796,659",0,"9,176,132"
The Code,The Code,Nemo,2/29/2024,"2,091",31.5,"52,925,522",79.0,"35,640,835","468,153",0,"178,195"
Jï¿½ï¿½lale,Jï¿½ï¿½lale,Bb trickz,5/2/2024,"2,102",31.5,"23,649,304",73.0,"18,261,218","229,451",0,"114,774"
A Puro Dolor,A Puro Dolor - Single,Gabito Ballesteros,12/2/2023,"2,098",31.5,"145,332,157",80.0,"79,026,835","407,599",0,"233,530"
Prisoner (feat. Dua Lipa),Prisoner (feat. Dua Lipa),Miley Cyrus,11/20/2020,"2,101",31.5,"795,449,825",67.0,"156,172,635","2,182,645",0,"2,311,374"
Why Not,Why Not,Ghostface Playa,4/1/2022,"2,099",31.5,"187,925,725",64.0,"132,788,074","1,959,343",1,"1,400,731"
Got It On Me,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,"2,096",31.5,"501,468,322",67.0,"145,512,290","2,125,906",1,"855,218"
intro (end of the world),eternal sunshine,Ariana Grande,3/8/2024,"2,090",31.5,"216,386,557",82.0,"4,613,304","63,775",1,"367,285"
All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1/1/1994,"2,097",31.5,"1,810,649,765",60.0,"824,500,156","7,455,155",0,"6,531,412"
La Rompe Corazones,La Rompe Corazones,Daddy Yankee,1/13/2017,"2,093",31.5,"526,264,393",66.0,"1,423,626,083","4,711,667",0,"1,741,563"
QUE ME FALTE TODO,QUE ME FALTE TODO,Luck Ra,10/26/2023,"2,089",31.5,"83,544,478",66.0,"106,772,777","296,327",0,"80,972"
Si Estuviï¿½ï¿½semos Ju,X 100PRE,Bad Bunny,12/23/2018,"2,106",31.4,"893,876,704",75.0,"824,238,458","5,274,687",1,"1,305,163"
360,360,Charli xcx,5/10/2024,"2,104",31.4,"31,940,305",76.0,"3,784,807","147,917",1,"50,140"
El Perdï¿½,Full Circle: The Live Anthology,Nicky Jam,11/20/2011,"2,108",31.4,"869,024,663",69.0,"1,937,330,456","6,059,523",0,"6,946,052"
Love Scars,A Love Letter To You,Trippie Redd,5/14/2017,"2,103",31.4,"402,970,867",5.0,"101,938,749","1,029,804",1,"745,513"
Die Hard,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,"2,107",31.4,"318,340,376",71.0,"43,714,392","491,664",1,"1,032,548"
Akher Yawm,Akher Yawm - Single,Ghaliaa,8/7/2023,"2,109",31.4,"447,624",29.0,"20,172",453,0,"42,579"
Ascend,Ascend - Single,Dezko,6/9/2023,"2,114",31.3,"76,305,266",66.0,"59,140,995","748,335",0,"1,327,579"
SI SABE FERXXO,SI SABE FERXXO,Blessd,1/24/2024,"2,117",31.3,"124,020,754",74.0,"32,907,129","291,898",1,"194,069"
Wind Up Missin' You,Wind Up Missin' You - Single,Tucker Wetmore,3/29/2024,"2,116",31.3,"58,496,778",74.0,"6,718,753","63,141",1,"233,617"
No Limit,No Limit,G-Eazy,9/7/2017,"2,118",31.3,"660,710,453",62.0,"814,200,168","5,248,262",1,"5,468,546"
Paro,Paro,Nej,5/21/2021,"2,112",31.3,"120,054,361",56.0,"468,441,213","5,119,403",1,"2,275,813"
HOPE,HOPE,NF,2/16/2023,"2,111",31.3,"164,875,589",64.0,"124,609,202","2,299,632",0,"557,175"
On My Way,On My Way,Alan Walker,3/21/2019,"2,119",31.3,"670,068,696",67.0,"665,558,958","11,599,426",1,"4,910,579"
You Need To Calm Down,You Need To Calm Down,Taylor Swift,6/14/2019,"2,113",31.3,"935,098,853",75.0,"437,794,062","5,982,989",0,"2,751,022"
Dancinï¿½ï¿½ï¿½ In The C,Dancin' In The Country,Tyler Hubbard,8/19/2022,"2,129",31.2,"142,607,318",67.0,"13,270,587","89,854",0,"596,894"
Starting Over,Starting Over,Chris Stapleton,8/27/2020,"2,134",31.2,"320,586,187",71.0,"174,357,045","850,627",0,"1,663,359"
295,Moosetape,Sidhu Moose Wala,5/15/2021,"2,130",31.2,"267,897,492",68.0,"677,472,355","11,160,045",0,"335,298"
Otro Atardecer,Un Verano Sin Ti,Bad Bunny,5/6/2022,"2,126",31.2,"426,439,016",71.0,"187,059,915","1,140,762",0,"961,174"
Soweto,Outlaw,Victony,5/6/2022,"2,123",31.2,"133,353,888",69.0,"152,140,804","845,642",1,"3,191,942"
Enjoy,Enjoy,Jux,7/14/2023,"2,127",31.2,"7,403,756",19.0,"13,523,535","99,905",0,"963,170"
Poland,Poland - Single,Lil Yachty,10/4/2022,"2,131",31.2,"142,817,891",58.0,"9,564,773","374,693",1,"194,400"
Bertaraf,Sir,Canbay & Wolker,9/29/2023,"2,124",31.2,"71,190,581",70.0,"127,886,162","447,006",0,"412,007"
U My Everything (feat. Drake),In Sexyy We Trust,Sexyy Red,5/24/2024,"2,133",31.2,"13,671,209",71.0,"3,143,016","58,858",1,"130,550"
Devil Eyes,Providence,Hippie Sabotage,2/5/2016,"2,121",31.2,"769,295,129",71.0,"706,646,464","7,579,662",0,"8,579,839"
m y . l i f e (with 21 Savage & Morray),The Off-Season,J. Cole,5/14/2021,"2,135",31.1,"436,133,194",68.0,"78,305,305","910,889",1,"1,399,160"
I'm Yours,DDB Hitzone Best Of 2008,Jason Mraz,1/1/2008,"2,136",31.1,"1,878,098,512",72.0,"359,866,287","1,614,148",0,"12,571,538"
"Going, Going, Gone",Growin' Up,Luke Combs,6/24/2022,"2,139",31.1,"192,633,758",72.0,"43,607,584","203,727",0,"420,418"
Baarish Ki Jaaye,Baarish Ki Jaaye,B Praak,3/27/2021,"2,142",31.1,"53,064,181",53.0,"700,321,521","7,293,139",0,"216,531"
Company,Company,Emiway Bantai,1/22/2023,"2,144",31.1,"39,899,018",49.0,"279,246,643","4,502,050",0,"71,016"
LA PEOPLE,LA PEOPLE,Peso Pluma,6/22/2023,"2,143",31.1,"261,311,116",75.0,"73,174,350","286,276",1,"220,819"
BRAZILIAN DANï¿½ï¿½A P,BRAZILIAN DANï¿½ï¿½A P,6YNTHMANE,5/12/2023,"2,137",31.1,"185,914,923",72.0,"114,153,936","1,500,822",1,"1,114,212"
REACT,REACT,Switch Disco,1/13/2023,"2,138",31.1,"137,897,920",69.0,"61,438,933","366,832",0,"1,621,052"
Ocean,OCEAN,KAROL G,5/3/2019,"2,149",31.0,"312,111,545",66.0,"722,096,242","5,368,740",0,"1,139,084"
Wrecked,Wrecked,Imagine Dragons,7/2/2021,"2,153",31.0,"309,587,427",64.0,"199,356,851","1,545,728",0,"3,334,562"
Brown Munde,Brown Munde,AP Dhillon,9/18/2020,"2,148",31.0,"267,617,808",64.0,"756,395,439","7,889,556",0,"557,124"
pov,Positions,Ariana Grande,10/30/2020,"2,147",31.0,"541,397,856",66.0,"195,125,143","1,921,318",0,"1,320,353"
Dancing On My Own,Dancing On My Own,Calum Scott,3/11/2016,"2,154",31.0,"1,232,373,956",74.0,"823,692,209","4,889,435",0,"5,361,735"
Stay With Me,Full Circle: The Live Anthology,Sam Smith,11/20/2011,"2,152",31.0,"2,086,460,781",77.0,"212,889,507","1,603,354",0,"12,655,149"
Boucan (feat. Franglish),Boucan (feat. Franglish),KeBlack,4/25/2024,"2,145",31.0,"21,670,034",73.0,"15,271,196","123,620",1,"349,565"
Fulanito,Fulanito,Becky G,6/3/2021,"2,151",31.0,"254,118,106",58.0,"404,064,054","2,732,944",0,"821,982"
Only Love Can Hurt Like This (feat. Teddy Swims) - Remix,Only Love Can Hurt Like This (feat. Teddy Swims) - Single,Paloma Faith,9/23/2022,"2,156",31.0,"10,296,798",58.0,"11,726,419","125,802",0,"63,534"
Business (feat. Naza),Business (feat. Naza),DYSTINCT,6/1/2023,"2,160",30.9,"74,769,930",60.0,"72,559,154","484,307",0,"1,152,489"
MANIAC,ODDINARY,Stray Kids,3/18/2022,"2,163",30.9,"293,724,552",68.0,"343,273,995","6,840,494",0,"591,662"
Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition),Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition) - Single,Dominic Fike,6/2/2023,"2,159",30.9,"148,686,610",63.0,"445,811","5,554",0,"740,382"
ADIï¿½,LA NENA DE ARGENTINA,Maria Becerra,12/8/2022,"2,157",30.9,"172,082,938",66.0,"215,719,591","857,582",1,"308,507"
Something About You,Something About You,Eyedress,6/3/2021,"2,162",30.9,"438,511,316",77.0,"27,188,286","573,905",0,"1,611,142"
After LIKE,After LIKE - Single,IVE,8/22/2022,"2,169",30.8,"365,203,093",69.0,"281,724,902","2,937,674",0,"613,332"
So Far,So Far,florias,3/10/2023,"2,164",30.8,"10,554",10.0,"333,366,384","362,004",0,275
idontwannabeyouanymore,dont smile at me,Billie Eilish,7/21/2017,"2,166",30.8,"1,091,185,920",72.0,"522,422,864","5,993,528",0,"2,223,597"
Debo Entender,Debo Entender,Santa Fe Klan,12/12/2019,"2,168",30.8,"335,856,859",66.0,"917,170,916","6,108,835",0,"973,063"
Vem Desestressar,Vem Desestressar,MC PH,4/4/2024,"2,177",30.8,"35,473,387",69.0,"28,992,482","285,938",1,"38,259"
Darkside,Darkside,Alan Walker,7/27/2018,"2,173",30.8,"596,469,106",67.0,"919,443,352","9,060,446",0,"2,538,154"
Call Me Every Day (feat. WizKid),Call Me Every Day (feat. WizKid),Chris Brown,6/17/2022,"2,174",30.8,"125,056,212",61.0,"123,551,829","1,191,440",0,"1,524,739"
World's Smallest Violin,OK ORCHESTRA,AJR,1/1/2021,"2,165",30.8,"343,227,483",63.0,"239,480,315","4,107,386",1,"2,936,528"
Thot Shit,Thot Shit,Megan Thee Stallion,6/11/2021,"2,176",30.8,"319,372,639",60.0,"166,781,349","2,497,154",1,"1,499,357"
Money Trees,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,1/1/2012,"2,167",30.8,"1,476,217,041",75.0,"385,175,377","3,054,056",1,"6,010,383"
Si La Calle Llama - Remix,3MEN2 KBRN,Eladio Carrion,3/17/2023,"2,175",30.8,"190,420,514",65.0,"109,102,453","801,125",1,"315,999"
Waffle House,Waffle House,Jonas Brothers,4/7/2023,"2,170",30.8,"139,105,802",63.0,"18,520,292","175,833",0,"573,574"
Got Me Started,Got Me Started,Troye Sivan,9/20/2023,"2,180",30.7,"125,169,958",5.0,"22,661,967","332,818",1,"982,286"
Low,SOS,SZA,12/9/2022,"2,178",30.7,"452,881,574",73.0,"30,642,267","285,150",1,"884,773"
Night Changes,FOUR (Deluxe),One Direction,11/17/2014,"2,179",30.7,"1,548,151,634",83.0,"948,760,574","9,009,457",0,"5,939,223"
De Los Besos Que Te Di,De Los Besos Que Te Di,Christian Nodal,4/15/2019,"2,182",30.7,"518,477,840",71.0,"970,377,956","2,794,007",0,"1,164,732"
BRODYAGA FUNK,BRODYAGA FUNK - EP,Eternxlkz,11/17/2023,"2,183",30.7,"73,316,998",75.0,"48,425,342","581,515",1,"698,469"
DNA.,DAMN.,Kendrick Lamar,4/14/2017,"2,184",30.7,"1,157,112,366",75.0,"356,343,325","3,573,193",1,"2,244,068"
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix Version]",Ty Dolla $ign,6/10/2014,"2,197",30.6,"949,312,501",74.0,"858,285,365","5,419,110",1,"2,633,407"
Baklava,Baklava - Single,Gya,4/15/2024,"2,189",30.6,"5,633,595",61.0,"38,890,559","213,288",0,"50,894"
BIZCOCHITO,Find Your Line: Official Music from GRAN TURISMO 7,ROSALï¿½,3/4/2022,"2,192",30.6,"222,910,969",61.0,"69,332,188","971,738",1,"1,284,746"
Veggie Dance,Veggie Dance,Gracie's Corner,4/5/2024,"2,187",30.6,"2,279,039",55.0,"43,379,343","332,023",0,"33,195"
"Love Me Like You Do - From ""Fifty Shades Of Grey""","Love Me Like You Do (From ""Fifty Shades Of Grey"")",Ellie Goulding,2/1/2015,"2,193",30.6,"1,532,983,094",70.0,"48,109,240","469,999",0,"19,968,269"
Still Don't Know My Name,Euphoria (Original Score from the HBO Series),Labrinth,10/4/2019,"2,185",30.6,"666,107,710",71.0,"234,005,957","3,231,466",0,"4,161,911"
Sittin' On Top Of The World,Sittin' On Top Of The World - Single,Burna Boy,6/1/2023,"2,196",30.6,"44,751,795",55.0,"21,737,557","277,948",1,"343,757"
Si Fuera Fï¿½ï¿,Si Fuera Fï¿½ï¿½cil - Si,Grupo Marca Registrada,5/27/2022,"2,195",30.6,"285,183,501",65.0,"322,857,747","1,566,688",0,"411,987"
Broke In A Minute,Broke In A Minute,Tory Lanez,2/7/2020,"2,186",30.6,"407,015,049",70.0,"44,157,454","665,741",1,"712,141"
Engana Dizendo Que Ama,Dos Prï¿½ï¿½dios De,Veigh,5/19/2023,"2,188",30.6,"142,474,379",67.0,"144,774,313","822,345",1,"153,295"
In Case You Didn't Know,Brett Young EP,Brett Young,1/1/2016,"2,198",30.6,"560,774,282",68.0,"861,165,099","4,288,539",0,"3,920,740"
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol. 54 - Si",Bizarrap,3/22/2023,"2,191",30.6,"146,680,564",62.0,"154,916,805","3,043,720",0,"199,628"
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcï¿½ï¿½,9/30/2016,"2,199",30.5,"462,055,272",71.0,"1,546,120,738","7,974,135",1,"1,569,987"
