Track,Album_Name,Artist,Release_Date,All_Time_Spotify_Rank,Track_Score,Spotify_Streams,Spotify_Popularity,YouTube_Views,YouTube_Likes,Explicit_Track_Ratings,Shazam_Counts
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,6/22/2023,136,129.4,"1,378,494",34.0,"1,022,331","22,739",0,"50,550"
vampire,vampire,Olivia Rodrigo,6/30/2023,138,128.9,"998,964,097",18.0,"113,450,524","2,108,657",1,"4,872,257"
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,3/1/2024,139,128.5,"37,157,630",74.0,"63,418,833","427,441",0,"42,895"
People,People - Single,Libianca,12/5/2022,141,127.8,"631,955,547",74.0,"305,998,382","2,647,341",1,"6,121,126"
Abc,Abc,J Ross,2/14/2023,145,126.6,"31,867",1.0,"1,538,564,650","2,066,653",0,"1,178"
La Bachata,La Bachata,Manuel Turizo,5/26/2022,146,126.2,"1,721,045,197",81.0,"798,827,877","3,379,928",0,"4,817,885"
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,4/7/2023,147,125.4,"8,028,757",44.0,"48,533,758","399,664",0,"220,198"
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,3/19/2021,148,125.2,"1,612,286,123",74.0,"1,019,256,266","10,280,320",1,"7,848,760"
Don't Start Now,Don't Start Now,Dua Lipa,10/31/2019,149,124.6,"2,607,121,959",78.0,"1,201,600,884","10,239,198",0,"13,421,701"
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/2018,150,123.9,"2,548,389,305",78.0,"987,143,411","9,384,427",1,"9,308,937"
PROVENZA,PROVENZA,KAROL G,4/22/2022,151,123.8,"1,185,929,926",76.0,"1,229,843,060","5,870,729",0,"3,397,861"
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,8/7/2020,152,123.4,"1,325,725,696",72.0,"1,329,826,741","15,965,491",1,"4,618,794"
SPOT!,SPOT!,ZICO,4/26/2024,153,122.8,"77,757,035",81.0,"100,148,771","2,531,168",0,"173,263"
Family Matters,Family Matters,Drake,5/3/2024,154,122.7,"72,335,127",86.0,"41,492,122","1,034,563",1,"283,217"
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,156,122.4,"1,673,557,134",80.0,"397,523,735","10,125,293",1,"2,310,409"
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,157,121.9,"922,010,059",79.0,"141,852,059","567,295",1,"2,665,347"
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,158,121.2,"532,012,790",85.0,"13,119,247","218,957",0,"2,580,089"
Bad Habits,#NAME?,Ed Sheeran,1/1/2020,159,120.8,"1,754,311,538",74.0,"958,790,883","7,686,994",0,"15,886,717"
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,160,120.7,"850,810,162",82.0,"258,553,384","1,174,349",1,"1,537,093"
Leave The Door Open,Leave The Door Open,Bruno Mars,3/5/2021,161,120.1,"1,312,168,384",75.0,"993,324,548","9,537,455",0,"10,288,388"
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),1/5/2022,162,119.5,"548,408",24.0,"1,356,336","17,701",0,"69,763"
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,164,117.7,"2,516,804,300",76.0,"1,779,243,626","26,239,833",0,"18,994,040"
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,5/25/2018,165,117.6,"2,738,293,818",74.0,"2,372,399,124","26,919,886",0,"15,254,141"
DESPECHï¿,DESPECHï¿,ROSALï¿½,7/28/2022,166,116.9,"1,003,487,432",73.0,"621,874,255","2,859,234",1,"3,205,234"
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,4/17/2020,167,116.7,"1,638,836,101",70.0,"1,170,441,361","13,667,470",1,"7,646,337"
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,3/23/2023,168,116.6,"372,423,476",71.0,"131,308,671","1,074,684",0,"2,886,987"
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,8/24/2023,169,116.5,"630,373,315",84.0,"50,938,569","246,731",0,"1,673,932"
Circles,Circles,Post Malone,8/30/2019,170,116.0,"2,481,391,466",80.0,"1,116,323,669","8,490,012",0,"13,634,519"
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,8/3/2023,171,115.9,"474,590,289",78.0,"577,930,708","1,569,516",0,"1,173,817"
About Damn Time,About Damn Time,Lizzo,4/14/2022,172,115.6,"847,025,688",66.0,"106,024,874","1,080,393",1,"5,445,721"
Closer,Closer,The Chainsmokers,7/29/2016,173,114.6,"2,880,536,961",80.0,"4,086,121,880","22,091,228",0,"16,185,008"
FLOWER,ME,JISOO,3/31/2023,174,114.3,"440,364,356",70.0,"525,156,884","10,820,829",0,"1,058,579"
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,175,114.2,"689,181,455",83.0,"183,381,482","738,123",1,"930,098"
Havana (feat. Young Thug),Havana,Camila Cabello,8/3/2017,177,112.8,"2,072,182,782",75.0,"3,952,909,529","32,333,846",0,"16,095,913"
LUNA,FERXXOCALIPSIS,Feid,12/1/2023,178,112.6,"606,124,553",86.0,"166,363,445","1,019,744",0,"1,704,574"
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,6/3/2022,179,112.5,"827,950,825",73.0,"299,001,099","2,751,490",1,"3,384,275"
Bones,Bones,Imagine Dragons,3/11/2022,180,112.0,"1,227,475,431",78.0,"584,854,654","6,691,488",0,"7,031,981"
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,8/17/2023,182,111.8,"571,366,508",79.0,"475,200,526","1,369,288",1,"1,703,294"
golden hour,golden hour,JVKE,7/15/2022,183,111.4,"1,126,986,320",73.0,"293,553,015","5,388,022",0,"3,897,680"
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,3/27/2020,184,111.3,"2,074,721,986",77.0,"1,665,434,424","15,432,964",0,"7,948,325"
Get It Sexyy,Get It Sexyy,Sexyy Red,3/15/2024,185,111.1,"89,362,910",84.0,"37,676,729","525,264",1,"514,293"
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,10/18/2023,186,110.9,"26,674,909",19.0,"7,863,539","84,565",0,"87,704"
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,5/6/2022,188,110.7,"1,421,763,497",78.0,"945,857,087","5,587,691",0,"3,087,489"
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,1/10/2020,189,110.2,"1,237,874,594",67.0,"2,430,804,498","12,334,565",1,"5,329,382"
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,10/12/2022,190,110.1,"804,925,777",75.0,"175,393,116","1,729,347",1,"6,548,714"
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,6/17/2022,192,109.7,"971,473,231",78.0,"198,796,965","2,003,253",1,"3,142,892"
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,193,109.5,"1,125,681,368",72.0,"306,628,096","3,322,075",1,"3,908,069"
Memories,Memories,Maroon 5,9/20/2019,194,109.3,"2,011,072,164",77.0,"1,290,292,327","11,720,744",0,"14,241,952"
Classy 101,Classy 101,Feid,3/31/2023,195,109.1,"872,148,396",78.0,"477,047,694","1,887,642",1,"1,625,704"
Whatever,Whatever,Kygo,1/19/2024,196,109.0,"222,354,971",83.0,"45,439,562","522,558",0,"1,421,900"
Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),BENNETT,8/4/2023,198,107.8,"361,517,395",80.0,"37,192,341","491,577",0,"4,372,188"
Without Me,Without Me,Halsey,10/4/2018,200,107.4,"2,042,792,456",75.0,"2,018,089,906","20,528,541",1,"14,816,076"
Shallow,Shallow,Lady Gaga,9/27/2018,204,106.9,"2,447,973,078",78.0,"2,732,311,956","15,274,815",0,"153,863"
